Local time,Open,High,Low,Close,Volume
01.07.2015 00:00:00.000,0.93440,0.93552,0.93440,0.93542,332.0400000000001
01.07.2015 00:15:00.000,0.93542,0.93581,0.93505,0.93580,273.24
01.07.2015 00:30:00.000,0.93580,0.93608,0.93542,0.93547,207.33
01.07.2015 00:45:00.000,0.93549,0.93621,0.93549,0.93587,705.58
01.07.2015 01:00:00.000,0.93586,0.93586,0.93481,0.93515,499.6
01.07.2015 01:15:00.000,0.93508,0.93554,0.93477,0.93504,836.3000000000001
01.07.2015 01:30:00.000,0.93509,0.93551,0.93483,0.93498,673.9000000000001
01.07.2015 01:45:00.000,0.93499,0.93515,0.93474,0.93474,865.25
01.07.2015 02:00:00.000,0.93473,0.93574,0.93439,0.93456,376.21999999999997
01.07.2015 02:15:00.000,0.93456,0.93470,0.93432,0.93440,232.59000000000003
01.07.2015 02:30:00.000,0.93440,0.93440,0.93417,0.93434,389.15
01.07.2015 02:45:00.000,0.93434,0.93498,0.93430,0.93454,739.2900000000001
01.07.2015 03:00:00.000,0.93455,0.93461,0.93417,0.93460,410.94
01.07.2015 03:15:00.000,0.93462,0.93493,0.93454,0.93475,290.05
01.07.2015 03:30:00.000,0.93473,0.93532,0.93464,0.93526,315.11999999999995
01.07.2015 03:45:00.000,0.93526,0.93526,0.93486,0.93497,288.93
01.07.2015 04:00:00.000,0.93495,0.93515,0.93474,0.93512,304.64
01.07.2015 04:15:00.000,0.93514,0.93567,0.93487,0.93567,474.31
01.07.2015 04:30:00.000,0.93565,0.93570,0.93537,0.93540,249.85999999999999
01.07.2015 04:45:00.000,0.93540,0.93540,0.93515,0.93533,248.94000000000003
01.07.2015 05:00:00.000,0.93534,0.93542,0.93516,0.93516,183.82000000000002
01.07.2015 05:15:00.000,0.93516,0.93524,0.93510,0.93518,122.85
01.07.2015 05:30:00.000,0.93518,0.93524,0.93503,0.93519,127.60000000000001
01.07.2015 05:45:00.000,0.93519,0.93537,0.93497,0.93531,178.62999999999997
01.07.2015 06:00:00.000,0.93532,0.93579,0.93532,0.93579,115.11
01.07.2015 06:15:00.000,0.93581,0.93606,0.93574,0.93606,131.29
01.07.2015 06:30:00.000,0.93594,0.93616,0.93591,0.93592,189.5
01.07.2015 06:45:00.000,0.93592,0.93595,0.93578,0.93585,193.59
01.07.2015 07:00:00.000,0.93583,0.93594,0.93578,0.93592,138.95
01.07.2015 07:15:00.000,0.93592,0.93593,0.93569,0.93588,154.02999999999997
01.07.2015 07:30:00.000,0.93590,0.93604,0.93579,0.93584,219.33999999999997
01.07.2015 07:45:00.000,0.93583,0.93593,0.93548,0.93586,321.56
01.07.2015 08:00:00.000,0.93584,0.93705,0.93567,0.93679,1217.8999999999999
01.07.2015 08:15:00.000,0.93681,0.93691,0.93592,0.93653,1031.11
01.07.2015 08:30:00.000,0.93654,0.93727,0.93646,0.93665,1184.49
01.07.2015 08:45:00.000,0.93665,0.93723,0.93634,0.93698,921.14
01.07.2015 09:00:00.000,0.93698,0.93791,0.93686,0.93756,1178.0500000000002
01.07.2015 09:15:00.000,0.93757,0.93996,0.93738,0.93878,1841.5499999999997
01.07.2015 09:30:00.000,0.93878,0.93994,0.93857,0.93927,1576.8200000000002
01.07.2015 09:45:00.000,0.93926,0.94034,0.93917,0.93947,1653.36
01.07.2015 10:00:00.000,0.93948,0.94075,0.93934,0.94018,1314.07
01.07.2015 10:15:00.000,0.94017,0.94105,0.94010,0.94049,1366.44
01.07.2015 10:30:00.000,0.94049,0.94179,0.94048,0.94145,1277.22
01.07.2015 10:45:00.000,0.94145,0.94167,0.93673,0.93787,2054.1899999999996
01.07.2015 11:00:00.000,0.93788,0.93991,0.93603,0.93708,2808.2299999999996
01.07.2015 11:15:00.000,0.93708,0.93798,0.93703,0.93763,1577.42
01.07.2015 11:30:00.000,0.93763,0.93870,0.93758,0.93821,1417.72
01.07.2015 11:45:00.000,0.93820,0.93936,0.93813,0.93894,1150.9499999999998
01.07.2015 12:00:00.000,0.93895,0.94006,0.93875,0.93975,1185.59
01.07.2015 12:15:00.000,0.93975,0.94084,0.93960,0.94059,1306.32
01.07.2015 12:30:00.000,0.94059,0.94215,0.94043,0.94161,1320.1299999999999
01.07.2015 12:45:00.000,0.94160,0.94244,0.94100,0.94178,1125.46
01.07.2015 13:00:00.000,0.94174,0.94195,0.94124,0.94170,1038.9900000000002
01.07.2015 13:15:00.000,0.94168,0.94218,0.94147,0.94178,1030.35
01.07.2015 13:30:00.000,0.94179,0.94209,0.94134,0.94160,816.8100000000001
01.07.2015 13:45:00.000,0.94157,0.94224,0.94138,0.94140,953.9100000000001
01.07.2015 14:00:00.000,0.94137,0.94228,0.94077,0.94107,1272.3400000000001
01.07.2015 14:15:00.000,0.94107,0.94398,0.94107,0.94210,2017.3799999999999
01.07.2015 14:30:00.000,0.94209,0.94284,0.94017,0.94067,1573.9099999999999
01.07.2015 14:45:00.000,0.94067,0.94209,0.94046,0.94162,1177.35
01.07.2015 15:00:00.000,0.94162,0.94301,0.94138,0.94266,1197.73
01.07.2015 15:15:00.000,0.94266,0.94390,0.94232,0.94390,941.59
01.07.2015 15:30:00.000,0.94390,0.94466,0.94338,0.94379,1590.46
01.07.2015 15:45:00.000,0.94378,0.94452,0.94318,0.94336,1338.8200000000002
01.07.2015 16:00:00.000,0.94345,0.94450,0.94241,0.94308,1891.19
01.07.2015 16:15:00.000,0.94308,0.94310,0.94212,0.94245,1266.9600000000003
01.07.2015 16:30:00.000,0.94245,0.94288,0.94165,0.94241,1474.8699999999997
01.07.2015 16:45:00.000,0.94242,0.94461,0.94216,0.94461,1680.15
01.07.2015 17:00:00.000,0.94456,0.94537,0.94373,0.94435,1606.7099999999998
01.07.2015 17:15:00.000,0.94434,0.94508,0.94427,0.94502,1016.9200000000001
01.07.2015 17:30:00.000,0.94502,0.94568,0.94491,0.94527,949.9200000000001
01.07.2015 17:45:00.000,0.94526,0.94609,0.94526,0.94577,992.28
01.07.2015 18:00:00.000,0.94579,0.94610,0.94520,0.94599,830.7600000000001
01.07.2015 18:15:00.000,0.94600,0.94631,0.94585,0.94618,655.19
01.07.2015 18:30:00.000,0.94617,0.94670,0.94612,0.94656,595.6700000000001
01.07.2015 18:45:00.000,0.94655,0.94684,0.94602,0.94607,522.21
01.07.2015 19:00:00.000,0.94609,0.94783,0.94595,0.94757,891.6500000000001
01.07.2015 19:15:00.000,0.94756,0.94777,0.94686,0.94724,702.6600000000001
01.07.2015 19:30:00.000,0.94722,0.94756,0.94682,0.94718,733.5500000000001
01.07.2015 19:45:00.000,0.94717,0.94830,0.94706,0.94804,711.2800000000002
01.07.2015 20:00:00.000,0.94803,0.94808,0.94734,0.94754,660.6300000000001
01.07.2015 20:15:00.000,0.94756,0.94871,0.94727,0.94870,581.6300000000001
01.07.2015 20:30:00.000,0.94868,0.94893,0.94805,0.94831,774.72
01.07.2015 20:45:00.000,0.94830,0.94888,0.94772,0.94888,685.8100000000001
